【專題影片字幕校對稿：Windows 95 革命：從黑暗時代到數位黎明】
說明：依據標準字幕規範（每行 8～12 字黃金長度、自然呼吸斷句、專有名詞 100% 準確校正）產出。

001. [00:00:00,000 -> 00:00:01,820] 歡迎來到今天的專題故事
002. [00:00:02,120 -> 00:00:02,980] 今天我們不囉唆
003. [00:00:03,460 -> 00:00:04,880] 直接帶大家穿越回
004. [00:00:04,880 -> 00:00:06,540] 一個超級瘋狂的年代
005. [00:00:06,840 -> 00:00:08,740] 揭開一場徹底改變你我
006. [00:00:08,740 -> 00:00:10,360] 跟數位科技互動方式的
007. [00:00:10,360 -> 00:00:11,320] 科技驚悚片！
008. [00:00:11,780 -> 00:00:13,500] 其實這是一場充滿了野心、
009. [00:00:13,500 -> 00:00:14,800] 挑戰工程極限
010. [00:00:15,180 -> 00:00:16,640] 甚至讓全世界陷入
011. [00:00:16,640 -> 00:00:18,520] 集體狂熱的文化現象。
012. [00:00:18,860 -> 00:00:19,940] 我們馬上就來看看
013. [00:00:20,300 -> 00:00:21,120] 微軟的 Windows 95
014. [00:00:21,120 -> 00:00:22,420] 到底是怎麼辦到的。
015. [00:00:22,700 -> 00:00:24,180] 它究竟是如何把電腦
016. [00:00:24,180 -> 00:00:25,880] 從冷冰冰的實驗室儀器
017. [00:00:26,400 -> 00:00:27,640] 直接推向全人類
018. [00:00:27,640 -> 00:00:29,200] 流行文化的權力巔峰？
019. [00:00:29,780 -> 00:00:31,240] 你先想像一下這個畫面：
020. [00:00:31,460 -> 00:00:34,420] 午夜時分，天氣冷颼颼的
021. [00:00:34,760 -> 00:00:36,820] 結果有數以萬計的普通人
022. [00:00:37,120 -> 00:00:39,100] 裹著毛毯坐在折疊椅上
023. [00:00:39,520 -> 00:00:41,240] 把各大電腦零售店門口
024. [00:00:41,240 -> 00:00:42,320] 擠得水洩不通。
025. [00:00:43,060 -> 00:00:43,780] 你可能會想
026. [00:00:44,200 -> 00:00:46,460] 這是在排哪場搖滾音樂節嗎？
027. [00:00:46,860 -> 00:00:48,660] 還是星際大戰的首映會？
028. [00:00:49,100 -> 00:00:49,580] 都不是！
029. [00:00:50,300 -> 00:00:52,180] 這些人披星戴月排隊
030. [00:00:52,560 -> 00:00:53,520] 竟然只是為了一套
031. [00:00:53,520 -> 00:00:54,900] 電腦作業系統！
032. [00:00:55,520 -> 00:00:57,440] 這在今天聽起來簡直超扯
